FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q1,All Health Authorities,All Facilities,Abdominoplasty,118,50,9.9,77.1
2021/22,Q1,All Health Authorities,All Facilities,All Other Procedures,1418,1771,4.0,18.0
2021/22,Q1,All Health Authorities,All Facilities,All Procedures,84951,69228,5.9,29.4
2021/22,Q1,All Health Authorities,All Facilities,Aortic Aneurysm Repair,57,110,3.1,9.0
2021/22,Q1,All Health Authorities,All Facilities,Appendectomy,63,84,3.9,12.8
2021/22,Q1,All Health Authorities,All Facilities,Bariatric Surgery,172,110,8.9,21.0
2021/22,Q1,All Health Authorities,All Facilities,Biopsy in OR,312,566,3.1,12.3
2021/22,Q1,All Health Authorities,All Facilities,Bladder Surgery,870,1350,3.7,12.5
2021/22,Q1,All Health Authorities,All Facilities,Bowel Resection,354,715,3.0,8.8
2021/22,Q1,All Health Authorities,All Facilities,Breast Biopsy,129,413,2.9,6.8
2021/22,Q1,All Health Authorities,All Facilities,Breast Reconstruction,749,370,7.0,44.9
2021/22,Q1,All Health Authorities,All Facilities,Breast Reduction,1726,569,16.9,65.1
2021/22,Q1,All Health Authorities,All Facilities,CSF Drainage,10,22,0.8,5.9
2021/22,Q1,All Health Authorities,All Facilities,Cataract Surgery,21497,19938,6.4,32.5
2021/22,Q1,All Health Authorities,All Facilities,Cholecystectomy,1398,1411,4.9,17.3
2021/22,Q1,All Health Authorities,All Facilities,Colostomy/Ileostomy,157,154,5.4,23.6
2021/22,Q1,All Health Authorities,All Facilities,Cone Biopsy,26,61,3.9,6.9
2021/22,Q1,All Health Authorities,All Facilities,Cranial Surgery,140,260,1.9,13.0
2021/22,Q1,All Health Authorities,All Facilities,Cyst/Ganglion Removal,381,337,4.7,17.8
2021/22,Q1,All Health Authorities,All Facilities,D&C and Related Surgery,1116,1465,4.0,17.1
2021/22,Q1,All Health Authorities,All Facilities,Dental Surgery,2762,2161,7.4,21.1
2021/22,Q1,All Health Authorities,All Facilities,Endarterectomy,84,164,1.9,10.9
2021/22,Q1,All Health Authorities,All Facilities,Esophagectomy,28,37,2.6,12.0
2021/22,Q1,All Health Authorities,All Facilities,Examination Under Anaesthetic,210,289,4.3,17.4
2021/22,Q1,All Health Authorities,All Facilities,Excision Gynecomastia,102,38,14.1,57.6
2021/22,Q1,All Health Authorities,All Facilities,Excision Lesion/Tumour,611,773,3.4,14.4
2021/22,Q1,All Health Authorities,All Facilities,Facial Bone Reconstruction,289,161,10.4,30.6
2021/22,Q1,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1249,901,7.3,26.7
2021/22,Q1,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,64,55,5.3,16.7
2021/22,Q1,All Health Authorities,All Facilities,Foot/Ankle Surgery,431,237,10.4,59.3
2021/22,Q1,All Health Authorities,All Facilities,Foreign Body Removal Surgery,40,106,2.6,13.3
