,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
135,2009,Q1,Fraser,All Facilities,All Procedures,22732,16788,6.0,28.0,09_Q1
603,2009,Q1,Interior,All Facilities,All Procedures,13494,10756,5.4,26.7,09_Q1
1007,2009,Q1,Northern,All Facilities,All Procedures,4774,3905,4.3,28.4,09_Q1
1233,2009,Q1,Provincial Health Services Authority,All Facilities,All Procedures,345,463,4.6,11.8,09_Q1
1256,2009,Q1,Vancouver Coastal,All Facilities,All Procedures,15463,15344,4.1,19.0,09_Q1
1641,2009,Q1,Vancouver Island,All Facilities,All Procedures,12792,11682,5.0,22.0,09_Q1
2139,2009,Q2,Fraser,All Facilities,All Procedures,22356,14185,6.3,27.1,09_Q2
2594,2009,Q2,Interior,All Facilities,All Procedures,14040,9207,6.1,26.0,09_Q2
2992,2009,Q2,Northern,All Facilities,All Procedures,5038,3129,5.0,26.6,09_Q2
3186,2009,Q2,Provincial Health Services Authority,All Facilities,All Procedures,434,467,4.9,13.8,09_Q2
3214,2009,Q2,Vancouver Coastal,All Facilities,All Procedures,16125,13288,4.4,18.7,09_Q2
3577,2009,Q2,Vancouver Island,All Facilities,All Procedures,13448,9366,6.3,21.9,09_Q2
4038,2009,Q3,Fraser,All Facilities,All Procedures,22608,15372,5.9,27.6,09_Q3
4489,2009,Q3,Interior,All Facilities,All Procedures,14611,10120,5.7,27.6,09_Q3
4889,2009,Q3,Northern,All Facilities,All Procedures,4920,3261,5.1,30.6,09_Q3
5104,2009,Q3,Provincial Health Services Authority,All Facilities,All Procedures,409,525,5.1,14.0,09_Q3
5129,2009,Q3,Vancouver Coastal,All Facilities,All Procedures,15612,14219,4.3,20.6,09_Q3
5498,2009,Q3,Vancouver Island,All Facilities,All Procedures,13775,11158,6.1,23.6,09_Q3
5991,2009,Q4,Fraser,All Facilities,All Procedures,22900,15802,6.1,27.3,09_Q4
6416,2009,Q4,Interior,All Facilities,All Procedures,14827,10288,5.9,25.4,09_Q4
6823,2009,Q4,Northern,All Facilities,All Procedures,4562,3563,6.6,38.3,09_Q4
7035,2009,Q4,Provincial Health Services Authority,All Facilities,All Procedures,505,567,4.0,12.4,09_Q4
