,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
603,2009,Q1,Interior,All Facilities,All Procedures,13494,10756,5.4,26.7,09_Q1
2594,2009,Q2,Interior,All Facilities,All Procedures,14040,9207,6.1,26.0,09_Q2
4489,2009,Q3,Interior,All Facilities,All Procedures,14611,10120,5.7,27.6,09_Q3
6416,2009,Q4,Interior,All Facilities,All Procedures,14827,10288,5.9,25.4,09_Q4
8384,2010,Q1,Interior,All Facilities,All Procedures,15353,10984,5.9,27.3,10_Q1
10314,2010,Q2,Interior,All Facilities,All Procedures,15293,9247,6.1,28.7,10_Q2
12218,2010,Q3,Interior,All Facilities,All Procedures,15143,10818,5.7,31.9,10_Q3
14166,2010,Q4,Interior,All Facilities,All Procedures,13885,11227,5.9,31.3,10_Q4
16134,2011,Q1,Interior,All Facilities,All Procedures,14008,11333,5.4,29.3,11_Q1
18153,2011,Q2,Interior,All Facilities,All Procedures,14276,9349,6.0,27.4,11_Q2
20130,2011,Q3,Interior,All Facilities,All Procedures,14600,10391,5.6,29.7,11_Q3
22122,2011,Q4,Interior,All Facilities,All Procedures,14467,11174,5.9,29.4,11_Q4
24169,2012,Q1,Interior,All Facilities,All Procedures,14308,11077,5.7,30.6,12_Q1
26195,2012,Q2,Interior,All Facilities,All Procedures,14460,9369,6.0,29.7,12_Q2
28146,2012,Q3,Interior,All Facilities,All Procedures,14606,10864,5.0,31.7,12_Q3
30156,2012,Q4,Interior,All Facilities,All Procedures,13989,10188,5.7,30.1,12_Q4
32186,2013,Q1,Interior,All Facilities,All Procedures,13977,11304,5.1,30.9,13_Q1
34238,2013,Q2,Interior,All Facilities,All Procedures,13504,9461,5.9,31.0,13_Q2
36184,2013,Q3,Interior,All Facilities,All Procedures,13974,10407,5.6,32.0,13_Q3
38168,2013,Q4,Interior,All Facilities,All Procedures,14046,10226,6.3,28.0,13_Q4
40166,2014,Q1,Interior,All Facilities,All Procedures,14113,11247,6.0,29.1,14_Q1
42118,2014,Q2,Interior,All Facilities,All Procedures,14695,9433,6.7,30.9,14_Q2
44062,2014,Q3,Interior,All Facilities,All Procedures,15144,10401,6.6,32.6,14_Q3
46018,2014,Q4,Interior,All Facilities,All Procedures,15025,10498,7.4,34.9,14_Q4
48025,2015,Q1,Interior,All Facilities,All Procedures,14765,11312,7.0,33.1,15_Q1
50000,2015,Q2,Interior,All Facilities,All Procedures,14972,9662,7.7,36.4,15_Q2
51937,2015,Q3,Interior,All Facilities,All Procedures,14951,10659,7.7,35.9,15_Q3
53884,2015,Q4,Interior,All Facilities,All Procedures,14593,11099,8.6,33.6,15_Q4
55859,2016,Q1,Interior,All Facilities,All Procedures,14312,11815,7.6,33.4,16_Q1
57846,2016,Q2,Interior,All Facilities,All Procedures,14503,9492,8.4,31.9,16_Q2
59755,2016,Q3,Interior,All Facilities,All Procedures,14101,10699,7.6,34.7,16_Q3
61715,2016,Q4,Interior,All Facilities,All Procedures,13917,10795,7.4,37.1,16_Q4
63710,2017,Q1,Interior,All Facilities,All Procedures,13424,11452,7.0,31.6,17_Q1
65729,2017,Q2,Interior,All Facilities,All Procedures,14117,9191,8.0,31.4,17_Q2
67616,2017,Q3,Interior,All Facilities,All Procedures,14791,10464,6.9,32.6,17_Q3
69574,2017,Q4,Interior,All Facilities,All Procedures,14266,10789,7.3,32.7,17_Q4
71594,2018,Q1,Interior,All Facilities,All Procedures,14174,11542,7.0,33.0,18_Q1
73588,2018,Q2,Interior,All Facilities,All Procedures,14842,9888,8.1,34.1,18_Q2
75556,2018,Q3,Interior,All Facilities,All Procedures,15110,11384,7.6,31.9,18_Q3
77543,2018,Q4,Interior,All Facilities,All Procedures,14680,11467,7.6,31.6,18_Q4
79553,2019,Q1,Interior,All Facilities,All Procedures,14682,11850,7.1,31.7,19_Q1
81564,2019,Q2,Interior,All Facilities,All Procedures,15183,10471,7.1,29.9,19_Q2
83523,2019,Q3,Interior,All Facilities,All Procedures,15720,11390,7.1,32.6,19_Q3
85494,2019,Q4,Interior,All Facilities,All Procedures,15611,10384,7.1,33.4,19_Q4
87372,2020,Q1,Interior,All Facilities,All Procedures,17160,6474,11.1,35.0,20_Q1
89111,2020,Q2,Interior,All Facilities,All Procedures,16172,11509,9.9,40.1,20_Q2
91099,2020,Q3,Interior,All Facilities,All Procedures,15713,11955,7.0,39.9,20_Q3
93124,2020,Q4,Interior,All Facilities,All Procedures,14380,13487,6.9,34.0,20_Q4
96801,2021,Q1,Interior,All Facilities,All Procedures,13634,13460,5.9,28.7,21_Q1
98812,2021,Q2,Interior,All Facilities,All Procedures,14373,10434,5.7,24.1,21_Q2
100769,2021,Q3,Interior,All Facilities,All Procedures,15378,11475,6.0,24.9,21_Q3
