,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
1007,2009-01-01,Q1,Northern,All Facilities,All Procedures,4774,3905,4.3,28.4,01_Q1
2992,2009-01-01,Q2,Northern,All Facilities,All Procedures,5038,3129,5.0,26.6,01_Q2
4889,2009-01-01,Q3,Northern,All Facilities,All Procedures,4920,3261,5.1,30.6,01_Q3
6823,2009-01-01,Q4,Northern,All Facilities,All Procedures,4562,3563,6.6,38.3,01_Q4
8813,2010-01-01,Q1,Northern,All Facilities,All Procedures,4281,3579,6.3,36.1,01_Q1
10701,2010-01-01,Q2,Northern,All Facilities,All Procedures,3964,3239,6.3,31.4,01_Q2
12626,2010-01-01,Q3,Northern,All Facilities,All Procedures,3958,3677,4.1,26.3,01_Q3
14574,2010-01-01,Q4,Northern,All Facilities,All Procedures,3779,3853,4.9,22.0,01_Q4
16545,2011-01-01,Q1,Northern,All Facilities,All Procedures,3958,3936,5.1,24.4,01_Q1
18549,2011-01-01,Q2,Northern,All Facilities,All Procedures,4239,3385,6.1,22.7,01_Q2
20529,2011-01-01,Q3,Northern,All Facilities,All Procedures,3839,3904,5.1,25.7,01_Q3
22532,2011-01-01,Q4,Northern,All Facilities,All Procedures,3743,3982,6.0,23.1,01_Q4
24587,2012-01-01,Q1,Northern,All Facilities,All Procedures,3728,3904,5.6,22.7,01_Q1
26593,2012-01-01,Q2,Northern,All Facilities,All Procedures,3761,3190,5.6,22.0,01_Q2
28554,2012-01-01,Q3,Northern,All Facilities,All Procedures,3727,3664,4.9,24.0,01_Q3
30550,2012-01-01,Q4,Northern,All Facilities,All Procedures,3577,3789,5.6,24.4,01_Q4
32607,2013-01-01,Q1,Northern,All Facilities,All Procedures,3217,4143,5.1,24.1,01_Q1
34626,2013-01-01,Q2,Northern,All Facilities,All Procedures,3286,3524,5.4,23.1,01_Q2
36584,2013-01-01,Q3,Northern,All Facilities,All Procedures,2989,3497,4.9,23.1,01_Q3
38558,2013-01-01,Q4,Northern,All Facilities,All Procedures,2998,3438,4.4,20.9,01_Q4
40561,2014-01-01,Q1,Northern,All Facilities,All Procedures,2807,3654,4.4,24.1,01_Q1
42510,2014-01-01,Q2,Northern,All Facilities,All Procedures,3241,2970,4.4,22.1,01_Q2
44453,2014-01-01,Q3,Northern,All Facilities,All Procedures,3320,3400,4.0,21.1,01_Q3
46418,2014-01-01,Q4,Northern,All Facilities,All Procedures,3224,3289,4.7,22.2,01_Q4
48431,2015-01-01,Q1,Northern,All Facilities,All Procedures,3196,3408,4.7,24.0,01_Q1
50396,2015-01-01,Q2,Northern,All Facilities,All Procedures,3163,3043,5.1,26.9,01_Q2
52331,2015-01-01,Q3,Northern,All Facilities,All Procedures,3022,3289,4.9,25.3,01_Q3
54274,2015-01-01,Q4,Northern,All Facilities,All Procedures,3189,3243,5.0,20.9,01_Q4
56268,2016-01-01,Q1,Northern,All Facilities,All Procedures,3466,3671,4.9,21.1,01_Q1
58222,2016-01-01,Q2,Northern,All Facilities,All Procedures,3793,3246,5.3,23.9,01_Q2
60152,2016-01-01,Q3,Northern,All Facilities,All Procedures,4191,3370,5.0,23.3,01_Q3
62113,2016-01-01,Q4,Northern,All Facilities,All Procedures,4110,3838,6.4,23.9,01_Q4
64114,2017-01-01,Q1,Northern,All Facilities,All Procedures,4508,3894,6.4,27.1,01_Q1
66105,2017-01-01,Q2,Northern,All Facilities,All Procedures,4440,3400,7.3,26.1,01_Q2
68008,2017-01-01,Q3,Northern,All Facilities,All Procedures,4364,3805,6.0,27.1,01_Q3
69978,2017-01-01,Q4,Northern,All Facilities,All Procedures,4335,3911,6.6,28.6,01_Q4
71997,2018-01-01,Q1,Northern,All Facilities,All Procedures,4553,4259,7.0,27.4,01_Q1
73980,2018-01-01,Q2,Northern,All Facilities,All Procedures,4608,3517,7.3,23.3,01_Q2
75946,2018-01-01,Q3,Northern,All Facilities,All Procedures,4491,4012,6.4,25.7,01_Q3
77950,2018-01-01,Q4,Northern,All Facilities,All Procedures,4342,3891,7.1,25.7,01_Q4
79971,2019-01-01,Q1,Northern,All Facilities,All Procedures,4495,4103,6.9,28.4,01_Q1
81949,2019-01-01,Q2,Northern,All Facilities,All Procedures,4768,3637,7.3,26.9,01_Q2
83914,2019-01-01,Q3,Northern,All Facilities,All Procedures,4407,4217,7.9,30.6,01_Q3
85876,2019-01-01,Q4,Northern,All Facilities,All Procedures,4418,3554,7.1,24.0,01_Q4
87715,2020-01-01,Q1,Northern,All Facilities,All Procedures,4521,2077,9.9,27.9,01_Q1
89512,2020-01-01,Q2,Northern,All Facilities,All Procedures,4108,3823,7.3,33.4,01_Q2
91525,2020-01-01,Q3,Northern,All Facilities,All Procedures,4481,3817,6.1,30.6,01_Q3
93542,2020-01-01,Q4,Northern,All Facilities,All Procedures,5479,3317,6.1,19.9,01_Q4
97220,2021-01-01,Q1,Northern,All Facilities,All Procedures,5431,4107,7.9,27.3,01_Q1
99207,2021-01-01,Q2,Northern,All Facilities,All Procedures,5407,3408,7.9,28.0,01_Q2
101178,2021-01-01,Q3,Northern,All Facilities,All Procedures,6171,2742,6.9,23.1,01_Q3
