,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
1641,2009-01-01,Q1,Vancouver Island,All Facilities,All Procedures,12792,11682,5.0,22.0,01_Q1
3577,2009-01-01,Q2,Vancouver Island,All Facilities,All Procedures,13448,9366,6.3,21.9,01_Q2
5498,2009-01-01,Q3,Vancouver Island,All Facilities,All Procedures,13775,11158,6.1,23.6,01_Q3
7432,2009-01-01,Q4,Vancouver Island,All Facilities,All Procedures,13823,11607,6.1,21.1,01_Q4
9421,2010-01-01,Q1,Vancouver Island,All Facilities,All Procedures,14123,12182,5.9,22.0,01_Q1
11308,2010-01-01,Q2,Vancouver Island,All Facilities,All Procedures,15213,9850,6.9,23.3,01_Q2
13252,2010-01-01,Q3,Vancouver Island,All Facilities,All Procedures,15196,11658,6.6,27.4,01_Q3
15208,2010-01-01,Q4,Vancouver Island,All Facilities,All Procedures,14459,12597,6.7,26.3,01_Q4
17232,2011-01-01,Q1,Vancouver Island,All Facilities,All Procedures,14487,12236,6.9,25.0,01_Q1
19213,2011-01-01,Q2,Vancouver Island,All Facilities,All Procedures,15335,10186,7.1,24.9,01_Q2
21190,2011-01-01,Q3,Vancouver Island,All Facilities,All Procedures,15374,11567,6.7,25.6,01_Q3
23226,2011-01-01,Q4,Vancouver Island,All Facilities,All Procedures,14977,12239,7.1,25.4,01_Q4
25271,2012-01-01,Q1,Vancouver Island,All Facilities,All Procedures,15355,11995,6.6,24.9,01_Q1
27244,2012-01-01,Q2,Vancouver Island,All Facilities,All Procedures,16361,9479,7.1,25.4,01_Q2
29224,2012-01-01,Q3,Vancouver Island,All Facilities,All Procedures,16584,12259,7.0,27.0,01_Q3
31241,2012-01-01,Q4,Vancouver Island,All Facilities,All Procedures,15990,11758,6.7,27.3,01_Q4
33302,2013-01-01,Q1,Vancouver Island,All Facilities,All Procedures,15212,12439,6.6,28.9,01_Q1
35265,2013-01-01,Q2,Vancouver Island,All Facilities,All Procedures,15779,10048,7.6,29.9,01_Q2
37245,2013-01-01,Q3,Vancouver Island,All Facilities,All Procedures,16837,11048,7.0,30.9,01_Q3
39230,2013-01-01,Q4,Vancouver Island,All Facilities,All Procedures,18097,10680,7.6,33.3,01_Q4
41215,2014-01-01,Q1,Vancouver Island,All Facilities,All Procedures,17458,12073,8.0,34.6,01_Q1
43154,2014-01-01,Q2,Vancouver Island,All Facilities,All Procedures,17814,10165,8.7,37.9,01_Q2
45092,2014-01-01,Q3,Vancouver Island,All Facilities,All Procedures,18139,11565,8.3,38.0,01_Q3
47077,2014-01-01,Q4,Vancouver Island,All Facilities,All Procedures,17362,11911,8.6,39.7,01_Q4
49091,2015-01-01,Q1,Vancouver Island,All Facilities,All Procedures,17556,12146,7.9,38.9,01_Q1
51028,2015-01-01,Q2,Vancouver Island,All Facilities,All Procedures,18537,10332,8.4,39.4,01_Q2
52974,2015-01-01,Q3,Vancouver Island,All Facilities,All Procedures,18763,11416,8.9,38.0,01_Q3
54932,2015-01-01,Q4,Vancouver Island,All Facilities,All Procedures,19205,11600,8.4,38.3,01_Q4
56938,2016-01-01,Q1,Vancouver Island,All Facilities,All Procedures,18776,12722,8.0,38.1,01_Q1
58867,2016-01-01,Q2,Vancouver Island,All Facilities,All Procedures,19910,10258,8.4,40.9,01_Q2
60793,2016-01-01,Q3,Vancouver Island,All Facilities,All Procedures,19784,11662,8.4,41.1,01_Q3
62795,2016-01-01,Q4,Vancouver Island,All Facilities,All Procedures,18859,12603,8.6,39.1,01_Q4
64812,2017-01-01,Q1,Vancouver Island,All Facilities,All Procedures,18572,12760,7.7,38.3,01_Q1
66754,2017-01-01,Q2,Vancouver Island,All Facilities,All Procedures,19251,10143,8.1,40.6,01_Q2
68673,2017-01-01,Q3,Vancouver Island,All Facilities,All Procedures,19465,11527,8.4,41.0,01_Q3
70650,2017-01-01,Q4,Vancouver Island,All Facilities,All Procedures,18237,12608,9.0,41.6,01_Q4
72691,2018-01-01,Q1,Vancouver Island,All Facilities,All Procedures,17731,13236,8.3,38.0,01_Q1
74656,2018-01-01,Q2,Vancouver Island,All Facilities,All Procedures,17363,11221,8.6,34.9,01_Q2
76628,2018-01-01,Q3,Vancouver Island,All Facilities,All Procedures,16802,12701,7.6,35.4,01_Q3
78636,2018-01-01,Q4,Vancouver Island,All Facilities,All Procedures,17101,12532,7.6,33.1,01_Q4
80662,2019-01-01,Q1,Vancouver Island,All Facilities,All Procedures,17526,13158,7.4,30.0,01_Q1
82612,2019-01-01,Q2,Vancouver Island,All Facilities,All Procedures,18258,11690,7.9,31.2,01_Q2
84592,2019-01-01,Q3,Vancouver Island,All Facilities,All Procedures,19159,12808,7.6,33.0,01_Q3
86533,2019-01-01,Q4,Vancouver Island,All Facilities,All Procedures,19734,11560,8.1,36.0,01_Q4
88253,2020-01-01,Q1,Vancouver Island,All Facilities,All Procedures,19842,7840,11.7,36.7,01_Q1
90176,2020-01-01,Q2,Vancouver Island,All Facilities,All Procedures,18557,12829,8.3,42.7,01_Q2
92194,2020-01-01,Q3,Vancouver Island,All Facilities,All Procedures,16921,13710,6.1,44.7,01_Q3
94212,2020-01-01,Q4,Vancouver Island,All Facilities,All Procedures,16303,14628,6.0,33.8,01_Q4
97896,2021-01-01,Q1,Vancouver Island,All Facilities,All Procedures,15961,14634,5.9,29.1,01_Q1
