,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
71089,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Other Procedures,8,16,2.9,14.1,18_Q1
71091,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Aortic Aneurysm Repair,3,12,3.1,4.9,18_Q1
71092,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Biopsy in OR,3,6,1.0,15.9,18_Q1
71093,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bladder Surgery,47,50,3.2,31.9,18_Q1
71094,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bowel Resection,3,18,1.9,4.9,18_Q1
71095,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Biopsy,12,70,3.0,5.6,18_Q1
71096,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reconstruction,6,8,5.9,10.8,18_Q1
71097,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reduction,140,40,26.5,44.1,18_Q1
71098,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cholecystectomy,72,76,6.6,32.0,18_Q1
71099,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Colostomy/Ileostomy,3,5,4.4,8.8,18_Q1
71100,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,D&C and Related Surgery,65,58,7.6,24.2,18_Q1
71101,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Dental Surgery,73,82,5.9,26.6,18_Q1
71102,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Endarterectomy,10,23,1.4,6.3,18_Q1
71103,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Examination Under Anaesthetic,11,21,6.6,27.9,18_Q1
71104,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Lesion/Tumour,28,22,5.8,15.1,18_Q1
71105,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fallopian Tube/Ovarian Surgery,60,46,7.2,23.3,18_Q1
71106,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Foot/Ankle Surgery,32,14,12.2,28.7,18_Q1
71107,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fracture Repair,3,14,0.9,5.6,18_Q1
71108,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hand/Wrist Surgery,21,20,4.8,32.2,18_Q1
71109,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hernia Repair - Abdominal,175,115,12.6,35.3,18_Q1
71110,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Hip Replacement,101,48,10.6,37.2,18_Q1
71111,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee - Meniscectomy,9,6,15.1,33.9,18_Q1
71112,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Knee Replacement,249,83,23.4,53.8,18_Q1
71113,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Laparoscopy,13,9,4.3,11.0,18_Q1
71114,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Male Reproductive Surgery,38,34,15.2,34.2,18_Q1
71115,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Mastectomy,5,24,2.2,4.6,18_Q1
71116,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Myringotomy,3,16,3.1,6.4,18_Q1
71117,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Nasal Surgery,70,38,28.1,53.1,18_Q1
71118,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Joint Reconstruction,30,14,9.4,18.8,18_Q1
71119,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Orthopaedic Surgery,55,48,4.6,23.7,18_Q1
71120,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Other Urology Surgery,31,51,2.3,8.9,18_Q1
71121,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Prostate Surgery,97,67,29.1,34.3,18_Q1
71122,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Rectal Surgery,14,8,27.4,34.7,18_Q1
71123,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Shoulder Surgery,46,21,17.1,27.4,18_Q1
71124,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Sinus Surgery,3,8,24.9,56.2,18_Q1
