,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
601,2009-01-01,Q1,Interior,100 Mile District General Hospital,Dental Surgery,19,6,9.4,15.9
677,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,All Other Procedures,3,5,2.1,3.1
679,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Biopsy in OR,3,16,1.6,3.9
680,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Bladder Surgery,3,12,1.5,3.3
681,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Bowel Resection,3,10,0.9,1.5
682,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Breast Biopsy,3,11,1.4,2.3
683,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Cholecystectomy,5,26,1.1,3.8
684,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Cone Biopsy,3,5,2.1,8.3
685,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Cyst/Ganglion Removal,3,5,1.9,3.0
686,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,D&C and Related Surgery,9,78,1.9,5.0
687,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Dental Surgery,3,19,0.4,1.1
688,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Excision Lesion/Tumour,3,8,1.7,3.8
689,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Fallopian Tube/Ovarian Surgery,6,22,2.4,3.3
690,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Hernia Repair - Abdominal,7,40,2.1,5.9
691,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Laparoscopy,3,6,4.1,6.9
692,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Mastectomy,3,8,1.3,2.5
693,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Other Urology Surgery,3,21,2.1,3.9
694,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Thyroidectomy,3,6,2.4,5.7
695,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Uterine Surgery,19,44,2.7,6.9
696,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Vaginal Repair,3,5,4.3,5.5
697,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Varicose Veins Ligation/Stripping,3,6,1.6,2.5
698,2009-01-01,Q1,Interior,Cariboo Memorial Hospital,Vascular Surgery - Other,3,5,0.4,1.2
700,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,All Other Procedures,6,14,3.1,17.6
702,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,Biopsy in OR,10,7,0.7,6.9
703,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,Bladder Surgery,19,26,3.7,12.4
704,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,Bowel Resection,6,7,1.6,4.5
705,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,Breast Biopsy,7,7,2.1,2.6
706,2009-01-01,Q1,Interior,East Kootenay Regional Hospital,Cataract Surgery,166,344,4.7,12.0
