,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1063,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,All Other Procedures,8,5,23.1,84.8
1065,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Bladder Surgery,9,5,9.1,60.5
1066,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Cholecystectomy,3,8,21.1,38.2
1067,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Hernia Repair - Abdominal,16,9,16.9,29.2
1068,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Male Reproductive Surgery,9,6,3.9,16.6
1069,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Other Urology Surgery,36,5,13.0,44.3
1070,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Tonsillectomy/Adenoidectomy,11,8,28.6,46.9
1071,2009-01-01,Q1,Northern,Bulkley Valley District Hospital,Uterine Surgery,7,5,3.0,3.6
1073,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Bowel Resection,3,5,1.0,3.0
1074,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Cholecystectomy,12,10,6.0,9.1
1075,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Cone Biopsy,3,6,2.6,3.9
1076,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,D&C and Related Surgery,8,20,2.0,3.7
1077,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Examination Under Anaesthetic,3,6,1.8,3.6
1078,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Fallopian Tube/Ovarian Surgery,3,15,4.4,9.8
1079,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Fracture Repair,3,6,2.2,28.5
1080,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Hernia Repair - Abdominal,18,28,4.1,10.6
1081,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Hip Replacement,18,14,16.0,28.0
1082,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Knee Arthroscopy,12,24,3.9,10.1
1083,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Knee Replacement,44,19,38.0,62.6
1084,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Male Reproductive Surgery,3,13,6.1,18.5
1085,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Nerve Surgery,3,20,4.1,10.9
1086,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Other Orthopaedic Surgery,22,25,5.1,17.9
1087,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Shoulder Surgery,26,18,5.1,14.7
1088,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Skin Tumour Removal,3,6,7.1,9.3
1089,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Tonsillectomy/Adenoidectomy,14,22,9.5,14.0
1090,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Uterine Surgery,5,13,4.3,9.3
1091,2009-01-01,Q1,Northern,Dawson Creek And District Hospital,Varicose Veins Ligation/Stripping,7,6,9.4,12.6
1092,2009-01-01,Q1,Northern,Fort St John General Hospital,All Other Procedures,126,212,5.2,15.0
1094,2009-01-01,Q1,Northern,Fort St John General Hospital,Bladder Surgery,11,11,2.1,2.7
1095,2009-01-01,Q1,Northern,Fort St John General Hospital,Breast Biopsy,3,9,1.9,4.1
1096,2009-01-01,Q1,Northern,Fort St John General Hospital,Cataract Surgery,138,55,32.4,48.7
1097,2009-01-01,Q1,Northern,Fort St John General Hospital,Cholecystectomy,9,18,2.5,5.6
1098,2009-01-01,Q1,Northern,Fort St John General Hospital,Cyst/Ganglion Removal,3,15,2.7,6.4
1099,2009-01-01,Q1,Northern,Fort St John General Hospital,D&C and Related Surgery,5,23,1.6,3.7
1100,2009-01-01,Q1,Northern,Fort St John General Hospital,Dental Surgery,9,15,3.6,9.0
1101,2009-01-01,Q1,Northern,Fort St John General Hospital,Fallopian Tube/Ovarian Surgery,5,11,8.6,14.1
1102,2009-01-01,Q1,Northern,Fort St John General Hospital,Hand/Wrist Surgery,11,12,5.6,30.2
1103,2009-01-01,Q1,Northern,Fort St John General Hospital,Hernia Repair - Abdominal,12,33,2.3,15.6
1104,2009-01-01,Q1,Northern,Fort St John General Hospital,Knee Arthroscopy,19,16,3.1,9.6
1105,2009-01-01,Q1,Northern,Fort St John General Hospital,Laparoscopy,3,18,2.4,4.6
1106,2009-01-01,Q1,Northern,Fort St John General Hospital,Male Reproductive Surgery,5,6,2.1,9.9
1107,2009-01-01,Q1,Northern,Fort St John General Hospital,Nasal Surgery,8,6,9.3,19.6
1108,2009-01-01,Q1,Northern,Fort St John General Hospital,Other Orthopaedic Surgery,9,16,5.5,28.6
1109,2009-01-01,Q1,Northern,Fort St John General Hospital,Rectal Surgery,3,6,3.0,11.2
1110,2009-01-01,Q1,Northern,Fort St John General Hospital,Skin Tumour Removal,3,13,2.9,10.8
1111,2009-01-01,Q1,Northern,Fort St John General Hospital,Tonsillectomy/Adenoidectomy,20,42,9.0,13.7
1112,2009-01-01,Q1,Northern,Fort St John General Hospital,Uterine Surgery,9,30,3.5,9.7
1113,2009-01-01,Q1,Northern,Fort St John General Hospital,Vaginal Repair,3,5,3.0,5.7
1114,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,All Other Procedures,183,262,2.9,17.1
1116,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Bladder Surgery,9,15,6.0,42.6
1117,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Breast Reconstruction,3,10,2.4,6.2
1118,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Cholecystectomy,7,20,3.1,7.2
1119,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Cyst/Ganglion Removal,14,5,2.6,5.3
1120,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Dental Surgery,24,32,3.1,29.0
1121,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Excision Lesion/Tumour,3,19,2.6,6.5
1122,2009-01-01,Q1,Northern,G.R. Baker Memorial Hospital,Hernia Repair - Abdominal,18,23,2.1,5.7
