,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
1244,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,13,32,1.9,3.1,09_Q1
1245,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,12,6,2.6,4.6,09_Q1
1246,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,5,5,2.0,3.3,09_Q1
1247,2009,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,5,1.1,2.7,09_Q1
1248,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,5,15,5.0,8.3,09_Q1
1250,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,21,68,1.9,8.9,09_Q1
1251,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,29,44,5.6,12.3,09_Q1
1252,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,12,24,4.9,9.8,09_Q1
1253,2009,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,173,226,6.3,14.1,09_Q1
3199,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,5,2.6,6.4,09_Q2
3200,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,13,54,2.2,7.1,09_Q2
3201,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,12,1.4,4.3,09_Q2
3202,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,25,23,3.6,5.7,09_Q2
3203,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,13,1.7,6.1,09_Q2
3204,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,9,2.3,5.1,09_Q2
3205,2009,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,5,5,4.0,9.2,09_Q2
3206,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,12,3.4,10.7,09_Q2
3208,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,23,42,3.0,11.4,09_Q2
3209,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,42,41,6.9,17.4,09_Q2
3210,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,11,16,9.7,15.2,09_Q2
3211,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,209,204,6.5,14.4,09_Q2
3212,2009,Q2,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,6,7,13.0,21.2,09_Q2
5116,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,14,61,2.3,6.0,09_Q3
5117,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,16,32,9.4,15.6,09_Q3
5118,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,16,1.4,2.7,09_Q3
5119,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,7,3.9,7.9,09_Q3
5120,2009,Q3,Provincial Health Services Authority,B.C. Cancer Agency,Vascular Surgery - Other,3,9,3.4,8.6,09_Q3
5121,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,7,12,4.1,9.9,09_Q3
5123,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,22,59,3.0,10.9,09_Q3
5124,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,26,54,5.8,20.3,09_Q3
5125,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,16,14,8.4,12.4,09_Q3
5126,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,162,228,7.3,14.7,09_Q3
5127,2009,Q3,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,7,6,9.9,21.1,09_Q3
7049,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,13,0.9,3.3,09_Q4
7050,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,11,69,2.1,4.9,09_Q4
7051,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,12,29,9.0,15.2,09_Q4
7052,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,6,12,2.9,3.9,09_Q4
7053,2009,Q4,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,5,19,3.3,7.3,09_Q4
7054,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,11,4.7,8.9,09_Q4
7056,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,16,69,3.9,11.3,09_Q4
7057,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,36,50,4.4,12.9,09_Q4
7058,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,14,38,3.9,8.1,09_Q4
7059,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Skin Tumour Removal,3,5,4.4,5.9,09_Q4
7060,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,202,206,6.4,14.0,09_Q4
7061,2009,Q4,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,3,7,8.9,19.1,09_Q4
9033,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,10,61,3.9,6.4,10_Q1
9034,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,8,1.5,5.5,10_Q1
9035,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,7,20,5.4,12.5,10_Q1
9036,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,3,12,3.2,5.0,10_Q1
9037,2010,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,13,2.3,5.0,10_Q1
9038,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,3,8,1.4,8.3,10_Q1
9040,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,29,68,2.6,7.5,10_Q1
9041,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,28,59,4.6,10.8,10_Q1
9042,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,3,30,4.1,12.8,10_Q1
9043,2010,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,178,240,6.7,14.3,10_Q1
10923,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,8,1.4,2.3,10_Q2
10924,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,20,50,2.1,5.5,10_Q2
10925,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,D&C and Related Surgery,3,5,4.1,6.0,10_Q2
10926,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,20,18,1.9,5.7,10_Q2
10927,2010,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Mastectomy,5,16,1.6,4.7,10_Q2
