,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
72260,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,All Other Procedures,14,76,2.4,6.4,18_Q1
72262,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,11,1.9,4.9,18_Q1
72263,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,5,36,3.1,5.9,18_Q1
72264,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,14,37,3.7,11.3,18_Q1
72265,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Skin Tumour Removal,3,7,2.9,3.5,18_Q1
72266,2018,Q1,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,13,5.0,7.0,18_Q1
72267,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,All Other Procedures,35,34,3.7,44.9,18_Q1
72269,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Biopsy in OR,10,8,9.7,25.0,18_Q1
72270,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Colostomy/Ileostomy,3,7,1.4,6.5,18_Q1
72271,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Cranial Surgery,8,23,4.1,9.7,18_Q1
72272,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Cyst/Ganglion Removal,10,9,9.9,22.2,18_Q1
72273,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Dental Surgery,172,314,3.9,14.1,18_Q1
72274,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Examination Under Anaesthetic,22,30,3.4,15.3,18_Q1
72275,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Excision Lesion/Tumour,20,28,7.9,21.5,18_Q1
72276,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Foreign Body Removal Surgery,3,5,12.0,24.4,18_Q1
72277,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Fracture Repair,10,10,4.2,12.3,18_Q1
72278,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Gastrostomy/Jejunostomy,12,21,5.1,11.1,18_Q1
72279,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Hernia Repair - Abdominal,66,57,7.0,20.0,18_Q1
72280,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Knee - ACL Repair,15,8,1.2,11.0,18_Q1
72281,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Knee Arthroscopy,8,14,3.4,11.0,18_Q1
72282,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Laparoscopy,3,7,3.0,11.7,18_Q1
72283,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Laparotomy,3,5,3.4,5.5,18_Q1
72284,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Lens & Vitreous (non-cataract) Surgery,12,16,7.7,17.1,18_Q1
72285,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Male Reproductive Surgery,183,91,12.4,30.4,18_Q1
72286,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Myringotomy,43,56,5.0,11.9,18_Q1
72287,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Oral Cavity & Pharynx Surgery,36,19,11.3,20.1,18_Q1
72288,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Other Ear Surgery,31,20,9.1,49.5,18_Q1
72289,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Other Eye Surgery,237,141,13.9,34.4,18_Q1
72290,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Other Joint Reconstruction,25,11,9.0,15.1,18_Q1
72291,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Other Orthopaedic Surgery,164,146,5.9,26.4,18_Q1
72292,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Other Urology Surgery,163,113,8.0,37.9,18_Q1
72293,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Rectal Surgery,3,9,4.1,7.3,18_Q1
72294,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Skin Surgery,16,16,1.7,2.6,18_Q1
72295,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Skin Tumour Removal,87,52,15.2,46.7,18_Q1
72296,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Spinal/Back Surgery,116,39,3.7,15.8,18_Q1
72297,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Tendon Surgery,20,9,1.7,14.9,18_Q1
72298,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Tonsillectomy/Adenoidectomy,64,64,11.3,26.4,18_Q1
72299,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Tympanoplasty,22,16,15.5,76.9,18_Q1
72300,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Vascular Surgery - Other,9,25,3.6,20.7,18_Q1
72301,2018,Q1,Provincial Health Services Authority,B.C. Children'S Hospital,Wound/Laceration Care,3,7,1.0,4.0,18_Q1
72302,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,All Other Procedures,18,74,0.8,4.4,18_Q1
72304,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Cyst/Ganglion Removal,3,6,2.1,6.0,18_Q1
72305,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,D&C and Related Surgery,47,115,1.4,9.1,18_Q1
72306,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Fallopian Tube/Ovarian Surgery,59,54,7.9,20.1,18_Q1
72307,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Laparoscopy,13,22,6.0,16.7,18_Q1
72308,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Uterine Surgery,285,399,3.1,11.5,18_Q1
72309,2018,Q1,Provincial Health Services Authority,B.C. Women'S Hospital,Vaginal Repair,8,5,6.0,16.1,18_Q1
74235,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,All Other Procedures,17,62,2.1,6.4,18_Q2
74237,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Biopsy in OR,3,5,1.1,158.2,18_Q2
74238,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Breast Biopsy,11,29,2.7,5.6,18_Q2
74239,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Excision Lesion/Tumour,9,30,4.9,15.4,18_Q2
74240,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Skin Tumour Removal,3,8,1.6,2.7,18_Q2
74241,2018,Q2,Provincial Health Services Authority,B.C. Cancer Agency,Vaginal Repair,3,10,3.1,6.6,18_Q2
74242,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,All Other Procedures,28,31,3.1,20.3,18_Q2
74244,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,Biopsy in OR,8,21,0.9,7.3,18_Q2
74245,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,CSF Drainage,3,11,0.3,1.0,18_Q2
74246,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,Cholecystectomy,3,5,2.7,6.8,18_Q2
74247,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,Colostomy/Ileostomy,3,7,1.6,5.5,18_Q2
74248,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,Cranial Surgery,7,20,0.9,7.2,18_Q2
74249,2018,Q2,Provincial Health Services Authority,B.C. Children'S Hospital,Cyst/Ganglion Removal,9,16,5.3,15.6,18_Q2
