,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1331,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,All Other Procedures,18,31,1.0,8.0
1333,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Biopsy in OR,14,48,1.1,6.3
1334,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Bladder Surgery,72,81,4.0,25.3
1335,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Bowel Resection,11,26,1.7,5.5
1336,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Breast Reconstruction,17,7,16.3,60.0
1337,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Breast Reduction,72,25,11.4,60.6
1338,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Cataract Surgery,298,650,4.7,12.5
1339,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Cholecystectomy,55,59,7.9,27.1
1340,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Cranial Surgery,3,17,0.7,2.8
1341,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Cyst/Ganglion Removal,35,24,4.0,17.5
1342,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,D&C and Related Surgery,40,81,3.9,15.4
1343,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Excision Lesion/Tumour,3,14,2.6,21.4
1344,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Fallopian Tube/Ovarian Surgery,26,13,7.4,25.0
1345,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Foot/Ankle Surgery,17,18,9.3,18.3
1346,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Fracture Repair,8,15,0.9,2.9
1347,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Hernia Repair - Abdominal,172,155,11.1,38.8
1348,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Hip Replacement,58,80,10.4,27.1
1349,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Knee - ACL Repair,14,11,8.0,25.7
1350,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Knee - Meniscectomy,61,76,4.6,20.4
1351,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Knee Replacement,139,134,8.8,29.2
1352,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Laparoscopy,31,37,3.7,14.9
1353,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Male Reproductive Surgery,23,8,5.6,21.2
1354,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Mastectomy,19,83,1.4,4.1
1355,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Mastoidectomy,7,11,1.7,17.0
1356,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Myringotomy,6,15,1.7,10.5
1357,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Nasal Surgery,64,39,9.1,20.0
1358,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Nerve Surgery,7,11,3.1,16.3
1359,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Other Joint Reconstruction,5,10,6.7,16.2
1360,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Other Orthopaedic Surgery,66,70,3.0,13.9
1361,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Other Urology Surgery,31,43,2.4,10.6
1362,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Parotidectomy,3,8,7.5,16.8
1363,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Prostate Surgery,14,25,2.9,11.8
1364,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Rectal Surgery,55,34,14.0,42.3
1365,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Shoulder Surgery,53,25,17.0,23.2
1366,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Skin Tumour Removal,17,18,2.6,26.3
1367,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Spinal/Back Surgery,168,190,4.9,17.5
1368,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Tendon Surgery,3,5,0.9,5.8
1369,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Thyroidectomy,3,7,3.0,25.2
1370,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Tonsillectomy/Adenoidectomy,44,32,2.6,12.8
1371,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Tympanoplasty,25,20,1.9,13.3
1372,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Uterine Surgery,79,111,6.0,14.7
1373,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Vaginal Repair,7,7,11.7,28.1
1374,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Varicose Veins Ligation/Stripping,31,19,20.3,56.3
1375,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Vascular Bypass Graft - Non Cardiac,3,7,2.3,5.2
1376,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Vascular Surgery - Other,6,13,1.0,2.4
1377,2009-01-01,Q1,Vancouver Coastal,Lions Gate Hospital,Wound/Laceration Care,3,7,4.7,19.2
1378,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,All Other Procedures,21,24,6.9,17.3
1380,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Biopsy in OR,38,110,3.9,9.1
1381,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Bladder Surgery,31,30,6.0,14.8
1382,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Bowel Resection,3,13,2.0,3.7
1383,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Biopsy,58,101,2.9,6.1
1384,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Reconstruction,13,19,2.9,28.5
1385,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Breast Reduction,129,47,17.0,40.1
1386,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cataract Surgery,909,1421,3.1,10.9
1387,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cholecystectomy,38,31,5.3,19.6
1388,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Cyst/Ganglion Removal,33,9,5.3,15.5
1389,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Dental Surgery,8,21,3.1,4.1
1390,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Excision Gynecomastia,5,6,7.1,11.0
1391,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Excision Lesion/Tumour,7,8,3.1,5.1
1392,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Facial Bone Reconstruction,19,41,2.4,5.0
1393,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Foot/Ankle Surgery,3,14,2.0,2.3
1394,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Hand/Wrist Surgery,12,5,9.1,13.4
1395,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Hernia Repair - Abdominal,108,83,4.4,20.6
1396,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Lens & Vitreous (non-cataract) Surgery,120,63,1.0,5.7
1397,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Male Reproductive Surgery,15,23,9.6,12.8
1398,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Mastectomy,36,94,2.1,6.2
1399,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Mastoidectomy,3,5,5.6,10.7
1400,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Nasal Surgery,47,54,3.0,7.8
1401,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Nerve Surgery,5,16,2.1,3.5
1402,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Eye Surgery,193,160,3.1,20.2
1403,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Joint Reconstruction,3,9,2.0,3.6
1404,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Orthopaedic Surgery,11,17,2.1,8.3
1405,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Other Urology Surgery,32,38,3.3,10.8
1406,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Prostate Surgery,27,24,7.0,10.8
1407,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Rectal Surgery,43,33,5.1,18.9
1408,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Sinus Surgery,20,14,8.5,12.6
1409,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Skin Surgery,11,12,2.8,19.8
1410,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Skin Tumour Removal,18,10,4.3,24.3
1411,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Thyroidectomy,6,10,2.5,5.2
1412,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Tonsillectomy/Adenoidectomy,13,14,5.2,11.5
1413,2009-01-01,Q1,Vancouver Coastal,Mount Saint Joseph Hospital,Tympanoplasty,15,21,5.1,8.9
1415,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Bladder Surgery,3,5,7.0,10.8
1416,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Cataract Surgery,86,69,8.1,10.4
1417,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Cholecystectomy,3,15,4.3,7.2
1418,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,D&C and Related Surgery,3,16,4.6,7.6
1419,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Dental Surgery,17,18,3.3,10.5
1420,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Examination Under Anaesthetic,6,18,6.0,10.3
1421,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Fallopian Tube/Ovarian Surgery,5,7,5.0,7.6
1422,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Hand/Wrist Surgery,3,5,5.0,5.5
1423,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Hernia Repair - Abdominal,18,34,5.8,10.0
1424,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Mastectomy,7,14,2.1,4.8
1425,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Skin Tumour Removal,3,7,5.7,8.1
1426,2009-01-01,Q1,Vancouver Coastal,Powell River General Hospital,Uterine Surgery,7,15,7.0,11.1
1427,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,All Other Procedures,20,22,4.1,19.5
1429,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Biopsy in OR,3,9,2.6,5.0
1430,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Bladder Surgery,28,37,2.9,23.1
1431,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Bowel Resection,10,11,5.9,20.0
1432,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Breast Biopsy,11,17,2.1,3.7
1433,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Breast Reconstruction,12,6,17.1,44.1
1434,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Breast Reduction,54,15,13.1,48.4
1435,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Cataract Surgery,106,450,4.7,9.7
1436,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Cholecystectomy,85,32,10.6,30.4
1437,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Cyst/Ganglion Removal,32,15,4.9,8.0
1438,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,D&C and Related Surgery,9,19,3.7,6.0
1439,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Endarterectomy,3,5,3.9,5.0
1440,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Fallopian Tube/Ovarian Surgery,29,21,3.3,12.0
1441,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Foot/Ankle Surgery,56,15,33.7,46.6
1442,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Fracture Repair,11,10,1.1,5.7
1443,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Hand/Wrist Surgery,5,5,10.1,30.0
1444,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Hernia Repair - Abdominal,136,55,12.0,32.4
1445,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Hip Replacement,42,48,10.6,33.1
1446,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Knee - ACL Repair,30,8,31.6,61.6
1447,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Knee Arthroscopy,255,138,9.4,23.2
1448,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Knee Replacement,153,119,9.6,32.6
1449,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Laparoscopy,11,24,2.6,4.4
1450,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Male Reproductive Surgery,20,19,3.6,8.7
1451,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Mastectomy,20,26,2.1,4.7
1452,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Myringotomy,17,15,7.1,18.1
1453,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Nasal Surgery,58,60,8.4,20.2
1454,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Other Eye Surgery,10,12,5.1,11.9
1455,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Other Joint Reconstruction,61,7,42.9,48.9
1456,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Other Orthopaedic Surgery,49,15,5.4,13.6
1457,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Other Urology Surgery,30,68,3.0,7.0
1458,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Prostate Surgery,56,69,5.9,33.5
1459,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Rectal Surgery,66,24,11.8,42.0
1460,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Shoulder Surgery,49,10,13.3,68.8
1461,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Sinus Surgery,23,23,9.1,28.3
1462,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Skin Surgery,6,10,32.5,48.0
1463,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Skin Tumour Removal,12,35,3.4,6.6
1464,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Tendon Surgery,17,7,11.1,25.2
1465,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Tonsillectomy/Adenoidectomy,36,33,9.9,36.7
1466,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Tympanoplasty,65,18,56.3,73.3
1467,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Uterine Surgery,74,117,4.7,11.1
1468,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Vaginal Repair,21,8,7.4,25.3
1469,2009-01-01,Q1,Vancouver Coastal,Richmond Hospital,Varicose Veins Ligation/Stripping,15,7,10.3,18.3
